NCI,Start_Time,End_Time,Duration_Minutes,Recommendation
357783980,2024-02-01 00:00:00,2024-02-01 00:30:00,45,Shut Down (Low Utilization)
357783980,2024-02-01 01:00:00,2024-02-01 01:15:00,30,Shut Down (Low Utilization)
357783980,2024-02-01 02:15:00,2024-02-01 02:45:00,45,Shut Down (Low Utilization)
357783980,2024-02-01 03:30:00,2024-02-01 03:45:00,30,Shut Down (Low Utilization)
357783980,2024-02-02 00:30:00,2024-02-02 01:00:00,45,Shut Down (Low Utilization)
357783980,2024-02-02 01:30:00,2024-02-02 02:15:00,60,Shut Down (Low Utilization)
357783980,2024-02-02 03:00:00,2024-02-02 03:15:00,30,Shut Down (Low Utilization)
357783980,2024-02-02 04:15:00,2024-02-02 04:45:00,45,Shut Down (Low Utilization)
357783980,2024-02-03 01:00:00,2024-02-03 01:30:00,45,Shut Down (Low Utilization)
357783980,2024-02-03 02:15:00,2024-02-03 03:00:00,60,Shut Down (Low Utilization)
357783980,2024-02-03 04:00:00,2024-02-03 05:00:00,75,Shut Down (Low Utilization)
357783980,2024-02-03 05:30:00,2024-02-03 06:15:00,60,Shut Down (Low Utilization)
357783980,2024-02-04 01:00:00,2024-02-04 02:15:00,90,Shut Down (Low Utilization)
357783980,2024-02-04 02:45:00,2024-02-04 03:00:00,30,Shut Down (Low Utilization)
357783980,2024-02-04 03:30:00,2024-02-04 03:45:00,30,Shut Down (Low Utilization)
357783980,2024-02-04 04:15:00,2024-02-04 04:30:00,30,Shut Down (Low Utilization)
357783980,2024-02-04 06:00:00,2024-02-04 06:45:00,60,Shut Down (Low Utilization)
357783980,2024-02-05 00:00:00,2024-02-05 00:30:00,45,Shut Down (Low Utilization)
357783980,2024-02-05 01:00:00,2024-02-05 02:15:00,90,Shut Down (Low Utilization)
357783980,2024-02-05 03:00:00,2024-02-05 03:15:00,30,Shut Down (Low Utilization)
357783980,2024-02-05 04:30:00,2024-02-05 04:45:00,30,Shut Down (Low Utilization)
357783980,2024-02-05 05:15:00,2024-02-05 05:45:00,45,Shut Down (Low Utilization)
357783980,2024-02-06 00:30:00,2024-02-06 00:45:00,30,Shut Down (Low Utilization)
357783980,2024-02-06 01:15:00,2024-02-06 01:30:00,30,Shut Down (Low Utilization)
357783980,2024-02-06 02:30:00,2024-02-06 02:45:00,30,Shut Down (Low Utilization)
357783980,2024-02-06 04:30:00,2024-02-06 05:15:00,60,Shut Down (Low Utilization)
357783980,2024-02-07 02:00:00,2024-02-07 02:30:00,45,Shut Down (Low Utilization)
357783980,2024-02-07 03:00:00,2024-02-07 03:30:00,45,Shut Down (Low Utilization)
357783980,2024-02-07 04:30:00,2024-02-07 05:15:00,60,Shut Down (Low Utilization)
357783980,2024-02-08 00:00:00,2024-02-08 00:30:00,45,Shut Down (Low Utilization)
357783980,2024-02-08 01:45:00,2024-02-08 02:15:00,45,Shut Down (Low Utilization)
357783980,2024-02-08 03:15:00,2024-02-08 03:45:00,45,Shut Down (Low Utilization)
357783980,2024-02-08 04:45:00,2024-02-08 05:00:00,30,Shut Down (Low Utilization)
357783980,2024-02-09 00:45:00,2024-02-09 01:00:00,30,Shut Down (Low Utilization)
357783980,2024-02-09 02:45:00,2024-02-09 03:00:00,30,Shut Down (Low Utilization)
357783980,2024-02-09 04:00:00,2024-02-09 04:30:00,45,Shut Down (Low Utilization)
357783980,2024-02-09 05:30:00,2024-02-09 05:45:00,30,Shut Down (Low Utilization)
357783980,2024-02-10 01:30:00,2024-02-10 02:00:00,45,Shut Down (Low Utilization)
357783980,2024-02-10 03:45:00,2024-02-10 04:00:00,30,Shut Down (Low Utilization)
357783980,2024-02-10 05:15:00,2024-02-10 05:30:00,30,Shut Down (Low Utilization)
357783980,2024-02-11 06:15:00,2024-02-11 06:45:00,45,Shut Down (Low Utilization)
357783980,2024-02-12 00:00:00,2024-02-12 00:15:00,30,Shut Down (Low Utilization)
357783980,2024-02-12 03:00:00,2024-02-12 03:45:00,60,Shut Down (Low Utilization)
